workerid,hitId,condition,How Creative?-1,Increased AI use makes you feel-1,q1,q2,q3,q4,Hide Time,Page Load,q6,q7,How Creative?-2
5c75ca71c07974eca79acb9299017de37593a2bab78cefe71290d5152b298f60,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,60,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Very helpful,0.0,2024-09-09T15:09:11.408Z,I associated something with the first word of the three and saw if it fit with the other two,No,60
4394c3d8d826b8bfc8f486cd341b0911c43a21e5dbb6284a457d5214929bff48,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,54,More concerned than excited,Very easy,More concerned than excited,Disagree,Not at all helpful,0.0,2024-09-09T15:09:38.975Z,was too easy,no,57
ed88377f2d401d05095f00955359400b22f4738e2230c4eed4b63bc00e0d0807,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,65,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:09:38.059Z,"no strategy, just trying to think of related words",no,18
da2c9651eec9670d067bf0cf009ab28b156c6539c57f01785d8ecda9f5029901,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,60,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:08:59.090Z,I would pick a word to focus on and think of words that relate to that one. Then I would try out that word with the other two to see if they made sense.,"Wasn't allowed to press ""continue"" on the practice round so had to sit for the full minute",65
426f698a85c5e53c297e4c897e7aededc4a61bd4dcfb65df5c3606b0c8bb38fe,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:08:19.319Z,Trying to think of words that could be potentially connected,No,39
3a692a3d0252210c977a6d1e4e567bc0b4fabcd3c82e7db73f2bcf52bdd8aa72,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,66,More concerned than excited,Very easy,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:09:05.701Z,To think of words that worked for one word and see if they applied to the other two.,no,39
7f18f0729306328cb6b50a9ce70f13faedf23311058a876bc7001479ba1e2431,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,50,More concerned than excited,Very easy,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:09:53.364Z,"I read through all of the words and thought of a word that could be connected to the first one, then tried it with the second and so forth.",Nope,50
d7dcff3b282630961c69e5a3287aa900fc692435c9c910004dc8e7025fd58796,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,51,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:08:48.256Z,Think of words for 2 of the listed words and see if the 3rd one fit.,No,50
5358a2090bdfcde01beeef7c3424d7d28799cb247fbe7e315e01cf0f04b16426,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,10,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:15:21.640Z,I didn't have a strategy.,No,6
d7dcff3b282630961c69e5a3287aa900fc692435c9c910004dc8e7025fd58796,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,51,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:08:48.256Z,Think of words for 2 of the listed words and see if the 3rd one fit.,No,50
b16392cba7e6a7ba4f7bc70ebfc614bd55cfc8a97fa972f94b91c05fc74bd07a,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,70,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Not at all helpful,0.0,2024-09-09T15:11:13.557Z,systematically working through various ways in which they could be connected,no,54
2c8b6485b4014dad2109157feef341fb238ab797ada828eb0cf10558ee3df341,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,70,More concerned than excited,Very easy,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:12:07.059Z,i thought about words that would fit,no,70
f14b46126a585d162413f9626b5489ede4f6ec2ed9d580d3e4045da0c1fa2bee,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,30,More concerned than excited,Very easy,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:09:13.008Z,I just wrote what first came to mind,No,30
51fa4c519d45a87abc262edc473b7a8c7477f93584da0bb5ecdcbf1976b6f430,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,61,More excited than concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:11:35.201Z,"No strategy in particular, just thinking of the first word that came into my head when considering one of the words and seeing if it linked to the others",no,61
df79ca45d94107c26496cafeb26130036f93589db41510220cd370890624136d,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,25,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:19:12.858Z,"I didn't have a strategy, it was more accumulated knowledge of word pairs",no,25
d8820425d711205881b07c86a0a4b6afab17ec96e6df4c72b3fc3ad9ceb6e1e7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:10:38.067Z,I was using the most obscure word that I knew wouldn't have too many words that could fir in front of at the end of it.,No,50
d2e263f23c82069ba46fcce3548951604740b0a7ac9e6b5ffa926248b8497bd6,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,70,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,Not at all helpful,0.0,2024-09-09T15:08:58.798Z,just was running different common word combinations in my head and testing them against the other words,no,70
229ae461afe054c69230bcaaa30007aa278725782507d538580f5552c3fc9942,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,10,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:10:31.758Z,I had no strategy. I simply tried to think of words that they had in common. I could usually think of two matches but not three.,No.,10
4560784cf18182017a47ba4191e74669f677cd9fb73cbf91195dc0ce76254fe1,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,45,More excited than concerned,Very difficult,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:11:07.930Z,None i found the first set really difficult and I had to guess many times!,,11
0e17338c02aefb22ad9e6d3f5a2142a10206546dd514dda380699625e7a80ea2,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,60,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Not at all helpful,0.0,2024-09-09T15:11:39.020Z,"the first one was striaghtforward and seemed to have an obvious right answer
the second one I struggled to find something that fit with all three but went with one that worked for two of the words",only that the snake game kept restarting,61
1cbe9757636669ea1a58109b2a46045dc1802e63c534018ec1deb003227e9738,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,31,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:12:42.313Z,"First one was easy, the second one I associated words with the second word and then my first thought fit with the other words.","Yes, I had to wait for the practice round timer to end each time.",31
b14a676618f22ff25230da3d22924ae6e30f6f04d9d0c2de5419141e0e8f0163,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,40,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:10:59.225Z,"Using my brain and just selecting one word, adding a prefix/suffix and seeing if it could also be mapped onto the other two",No,40
422c24cc69bdb9ed63b070d907e1b0e78dfdae8fe4a0718b81209de201871b97,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,65,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:12:13.248Z,thinking of a word to fit with the other 3 words,none,78
303fae7038a7c1c60f0463b9a35a48196c180d1c5a2d9fe994c0c26b385c392f,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,25,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:10:32.915Z,"Think about one word and make associations, then see if it matched the other words. Then continue to do this for the other two words. Gold stumped me.",No,14
bf19bf2071261dc9146055563f3f1cb31138a3a69d501f4c0ec6896f1e6ae243,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:09:51.604Z,tried to use some logic,no,51
78f7b66766e79a2f90c846ec496468f6c523d092a4d0d6aff71552b449addedd,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,0,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:16:29.297Z,I didn't have one,,0
67f9e708c56f9c59a7a3f052d0917b0288523918934a3ee34ae639a6c2391129,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,38,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:11:26.587Z,"I just thought of words I knew including the words provided, then matched them up.",No,38
f8419a4e3b02460dbe9db732dfd44b106ff0b176523a2058ffd0403a7ae0e83b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,47,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:10:08.069Z,just to brain storm,no,41
9542d8d0522c4aae81a19ea413f840fad32ea30cd8efc9382af557d8ba6f02e5,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:11:32.394Z,Trying to visual see the objects and connect theem,No,58
14be292b07bc1b551a5c8a29a08b5d4c4f2bad0434db8e2123eed91869b684c0,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:10:40.431Z,Thought logically.,No,56
70eb921a4fd40ba85de6dcaceece62832831483193fb64b4f952a8010497e067,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,51,More excited than concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:13:40.355Z,"I was just thinking what could be linked to them, didn't have any specific strategy",none,50
b1d5619dbaadf8894a66283f9343d54b03316a0c5a0fa8c3863410d15bb10d9c,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,40,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:11:05.044Z,Take one word and just used whatever word that came into my head and then checked it against the other words to see if it worked,No,15
f64958434a6cf79b74153dff4af1704187866735146610ffc59db418f862ada9,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,60,More concerned than excited,Very difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:10:36.329Z,I was trying to think of common phrases that I know,no,57
111cb019d4c237de6b8f2ea81eba5e834e6774a33b5c10c5681cca5991b7b19c,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,75,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:10:53.729Z,I think I tried to find a word for the first one then just see if it fitted with the others in any way.,No,75
d349eb14457524a76ee40c37f294465edab1b8e10bf732facc9032393b808e6b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,70,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:13:27.776Z,Thinking about it!,No.,70
30a0f07ac37812b8245298b56707678d51d22d3065e0803daf68536de911ec5c,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,60,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,Not at all helpful,0.0,2024-09-09T15:12:52.117Z,just to focus,nope,55
8238407ab2e5f44772b2e6b635b19e88b6003ebf818ccc97bed5a3b12f508b41,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,25,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:11:20.018Z,"I first tried to come up with a word for the first word for example for the bank one I tired to think what else could go with note, after settling on 'bank' I confirmed that it fit the other words and it did perfectly.",,10
e58a28c907b66b68c4336f75432f75dcc1ae0f1c930b32bd56d24ee802108c33,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,59,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:13:03.175Z,To think of words that fit,No,59
f71be29ca96f8642ce3ffc71e8917079b0397185d61cd48813202fa086c9fedf,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,60,More excited than concerned,Very easy,More excited than concerned,Agree,A little helpful,0.0,2024-09-09T15:13:47.470Z,The first thing that came to mind!,No,60
59bf2f7883d5407e188712d32ac0da1c287f84eda6c2dba35b4fcb4299ae7538,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,36,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Very helpful,0.0,2024-09-09T15:14:43.122Z,Unsure,No,27
b29158d2f9f8c508f50a4584526a8ef2bb630d67e6d4af3b6e28ac6c3bd68d6d,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,71,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0.0,2024-09-09T15:14:24.405Z,To think of a word linking all 3 words,No,69
4e00fb44684c74aba0b39e4f89b40f0ba29747f458376e8a1212b456650d3ca9,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,5,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,0.0,2024-09-09T15:12:09.521Z,Repeating the over and over until something came to mind.,No.,6
9195092d70cd5fbcc5b95cb6396ac4283c10c38d5244bb9ac61df4f75daf130c,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,50,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:12:48.537Z,Just came straight to me,No,50
a1bc6a94bcb69066bc0bd07a262fc8751e757fc997e257fc4a9dcc6b5388cdd7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,18,More concerned than excited,Very difficult,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:10:48.335Z,"One came easy the second one, my mind went blank",no,16
cb77454e5eeed16cde17a9b11ae5d26e5ace470789c41c7912987a71f89f5e2e,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,82,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:13:55.885Z,thinking,no,86
39649cc18367f92e1a06f89916d51f19b1d257cf4fd0ad5798bacede342213cb,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,40,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0.0,2024-09-09T15:13:19.565Z,said the words out loud to try and work out what the word would be. Found it easier to do it this way to think aloud.,none,0
6882d3ab6aa543714f64936f169dedaf4cd691c0f6a04946e23317f2a209d2be,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,14,More excited than concerned,Very difficult,Equally excited and concerned,Agree,Very helpful,0.0,2024-09-09T15:12:33.321Z,I didnt have one- I guessed and was very confused.,No,11
940b793598428cd1a163f7808f44d0dddaf22f9fc4f14fee0428fc43011764fb,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,50,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:12:57.020Z,"There honestly wasn't much of a strategy, after seeing the words the associated work just popped into my head and then I made sure it fit with all of the words.",No everything went well!,25
81d5a4dc73273c2b368e76e66d0baa8193bfbe6ce7ccc6862778a1c4999ee2d3,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,55,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,Very helpful,0.0,2024-09-09T15:14:28.238Z,Primarily thinking of words that could either precede or follow the words on the screen,No,75
718335925e2332d2b4bd6f72f7b0ef38b7640c36870442d760bb7779e3515c14,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,0,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:12:10.084Z,I was trying to match words that made sense in front of or after the associated words given.,No Issues,0
16119ec7568e35206f4a3a69dc93824a3b4e7b40208e55218e0fa7e53a7e6b43,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,55,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:13:12.909Z,"There was no strategy, I looked at the three words and used common sense",no game of snake ever appeared!,53
bda7de3a75a187422d12208f175e1b6d99c93c97aa98ddc80161d45c95fd2da8,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,13,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:14:20.856Z,just listing as many words i could relate to one of the words and see if they fit the others,no,9
bcf3f01f66f9ad7c39496f02f6bb0053b10c41992a45dda631259aae1f5e5ce9,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,70,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Not at all helpful,0.0,2024-09-09T15:13:40.528Z,Say multiple words out loud until they sounded correct.,No,70
19c40be33a94f975f032aaf6c749d12bd1a0b4a2ff21bc19a847f56b07824b53,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,36,More concerned than excited,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:14:24.272Z,trying to think of a word that i would use with the last two,no,54
94c36c74dce58af42d2fadd7581378e39bf883b09fa8443924caaf07fd64a6a4,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,20,More excited than concerned,Very difficult,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:13:09.836Z,tried associating a compaound word with atleast 2 and hoped it worked for the 3rd word,no,7
c40101ce239fffc13bd53e5e9f4113526938d54d8f7b112836bb9f209e2083aa,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,8,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,7.802,2024-09-09T15:09:36.659Z,same as before just thinking and trying words,no,5
75da9b39af8b1b5bdb49cde9b70c255bd2ca15603e3c2444850015ee7f02fecf,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,29,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:13:48.440Z,"Hoping that my brain would spit out the word I was looking for? I wouldn't call it a strategy, just memory.",no.,20
86dd0e5e1000afc5789bbce700fde2aee73bbc5e63effea5782de52391c1b3c7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,75,Equally excited and concerned,Very easy,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:15:16.104Z,Identify Common Themes: I looked for a common element or concept that could connect all the given words.,nope,52
86dd0e5e1000afc5789bbce700fde2aee73bbc5e63effea5782de52391c1b3c7,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,75,Equally excited and concerned,Very easy,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:15:16.104Z,Identify Common Themes: I looked for a common element or concept that could connect all the given words.,nope,52
44adf4e8c012a01a223efdef395e6815d3f16d61342d8e314bd440864b321e71,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,60,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,Very helpful,0.0,2024-09-09T15:14:55.747Z,Try to go through each word and find words that match and then try to match that word with the other remaining words.,no,55
2400631e3c99b767ed98d9dfa71b1eb053685d5161882871aed1323997354336,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,20,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0.0,2024-09-09T15:15:28.409Z,"For the first one I thought of something that linked the last two and then had to force it potentially link to aid, (vehicle recovery?). The second one was immediately obvious from common phrases",no,16
f910143173e0139f9f374ee3928130da31e4b48d7a4b64576e9ab55abda78adc,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,generate,72,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0.0,2024-09-09T15:12:58.027Z,just trying to think of words that were associated with all three words,no,73
6135be6c1613f28186b1c513fd5eb67dde1f181a42f5cd0c0792af4e355c5046,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,20,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0.0,2024-09-09T15:16:14.838Z,Think of random words that fit for all 3 choices.,No.,29
d930cdc5234cd89a51ad1ba3287fcc8b0be9e88582ed3042c9f1909aa6facd29,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,absent,49,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Very helpful,0.0,2024-09-09T15:14:30.347Z,"I thought of different words I knew containing the first given word in the list of three, then checked whether the combination worked for the next two.",no,33
2d4b817fc545e2607f535206f6e6cd8776b93a44f612e87e5c654987bc245516,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,coach,52,More excited than concerned,Somewhat easy,More excited than concerned,Agree,A little helpful,0.0,2024-09-09T15:14:59.321Z,Think very broadly and try to avoid getting hung up on making one or two concepts work.,No,54
